time[YYYY-MM-DD hh:mm:ss PST], water_temperature
"2013/09/04 11:22:37", 21.001
"2013/09/04 11:22:47", 20.976
"2013/09/04 11:22:57", 20.973
"2013/09/04 11:23:07", 20.974
"2013/09/04 11:23:17", 20.966
"2013/09/04 11:23:27", 20.979
"2013/09/04 11:23:37", 20.963
"2013/09/04 11:23:47", 20.910
"2013/09/04 11:23:57", 20.884
"2013/09/04 11:24:07", 20.884
"2013/09/04 11:24:17", 20.861
"2013/09/04 11:24:27", 20.785
"2013/09/04 11:24:37", 20.681
"2013/09/04 11:24:47", 20.628
"2013/09/04 11:24:57", 20.561
"2013/09/04 11:25:07", 20.522
"2013/09/04 11:25:17", 20.475
"2013/09/04 11:25:27", 20.442
"2013/09/04 11:25:37", 20.405
"2013/09/04 11:25:47", 20.379
"2013/09/04 11:25:57", 20.360
"2013/09/04 11:26:07", 20.336
"2013/09/04 11:26:17", 19.981
"2013/09/04 11:26:27", 18.795
"2013/09/04 11:26:37", 18.330
"2013/09/04 11:26:47", 17.549
"2013/09/04 11:26:57", 17.202
"2013/09/04 11:27:07", 17.053
"2013/09/04 11:27:17", 16.967
"2013/09/04 11:27:27", 16.849
"2013/09/04 11:27:37", 16.787
"2013/09/04 11:27:47", 16.730
"2013/09/04 11:27:57", 16.667
"2013/09/04 11:28:07", 16.615
"2013/09/04 11:28:37", 16.520
"2013/09/04 11:28:47", 16.494
"2013/09/04 11:28:57", 16.459
"2013/09/04 11:29:07", 16.429
"2013/09/04 11:29:17", 16.393
"2013/09/04 11:29:27", 16.374
"2013/09/04 11:29:57", 16.000
"2013/09/04 11:30:37", 16.249
"2013/09/06 10:29:02", 17.823
"2013/09/06 10:29:12", 17.833
"2013/09/06 10:29:22", 17.843
"2013/09/06 10:29:32", 17.838
"2013/09/06 10:29:42", 17.831
"2013/09/06 10:29:52", 17.830
"2013/09/06 10:30:02", 17.828
"2013/09/06 10:30:12", 17.810
"2013/09/06 10:30:22", 17.787
"2013/09/06 10:30:32", 17.746
"2013/09/06 10:30:42", 17.759
"2013/09/06 10:30:52", 17.778
"2013/09/06 10:31:02", 17.784
"2013/09/06 10:31:12", 17.784
"2013/09/06 10:31:22", 17.776
"2013/09/06 10:31:32", 17.770
"2013/09/06 10:31:42", 17.767
"2013/09/06 10:31:52", 17.737
"2013/09/06 10:32:02", 17.699
"2013/09/06 10:32:12", 17.687
"2013/09/06 10:32:22", 17.707
"2013/09/24 14:11:29", 17.000
"2013/09/24 14:11:59", 17.034
"2013/09/24 14:12:14", 17.001
"2013/09/24 14:12:29", 16.974
"2013/09/24 14:12:44", 17.027
"2013/09/24 14:12:59", 17.026
"2013/09/24 14:13:14", 17.026
"2013/09/24 14:13:29", 16.984
"2013/09/24 14:13:44", 16.970
"2013/09/24 14:13:59", 16.960
"2013/09/24 14:14:14", 16.975
"2013/09/24 14:14:29", 16.957
"2013/09/24 14:14:44", 16.973
"2013/09/24 14:14:59", 16.940
"2013/09/24 14:15:14", 16.949
"2013/09/24 14:15:29", 16.986
"2013/09/24 14:15:44", 16.943
"2013/09/24 14:15:59", 16.945
"2013/09/24 14:16:14", 16.945
"2013/09/24 14:16:29", 16.936
"2013/09/24 14:16:44", 16.917
"2013/09/24 14:16:59", 16.955
"2013/09/24 14:17:14", 16.970
"2013/09/24 14:17:30", 16.950
"2013/09/24 14:18:00", 16.954
"2013/09/24 14:18:15", 16.945
"2013/09/24 14:18:30", 16.960
"2013/09/24 14:18:45", 16.959
"2013/09/24 14:19:00", 16.948
"2013/09/24 14:19:15", 16.918
"2013/09/24 14:19:30", 16.940
"2013/09/24 14:19:45", 16.927
"2013/09/24 14:20:00", 16.906
"2013/09/24 14:20:14", 16.881
"2013/09/24 14:20:29", 16.919
"2013/09/24 14:20:44", 16.897
"2013/09/24 14:20:59", 16.875
"2013/09/24 14:21:14", 16.826
"2013/09/24 14:21:29", 16.831
"2013/09/24 14:21:44", 16.830
"2013/09/24 14:21:59", 16.842
"2013/09/24 14:22:30", 16.810
"2013/09/24 14:22:45", 16.798
"2013/09/24 14:23:00", 16.826
"2013/09/24 14:23:15", 16.798
"2013/09/24 14:23:29", 16.797
"2013/09/24 14:23:44", 16.797
"2013/09/24 14:23:59", 16.799
"2013/09/24 14:24:14", 16.791
"2013/09/24 14:24:29", 16.804
"2013/09/24 14:24:44", 16.794
"2013/09/24 14:25:00", 16.795
"2013/09/24 14:25:14", 16.789
"2013/09/24 14:25:29", 16.796
"2013/09/24 14:25:44", 16.774
"2013/09/24 14:25:59", 16.795
"2013/09/24 14:26:15", 16.800
"2013/09/24 14:26:45", 16.795
"2013/09/24 14:30:29", 16.797
"2013/09/24 14:30:44", 16.788
"2013/09/24 14:30:59", 16.799
"2013/09/24 14:31:14", 16.813
"2013/09/24 14:31:29", 16.807
"2013/09/24 14:31:44", 16.808
"2013/09/24 14:32:00", 16.803
"2013/09/24 14:32:14", 16.806
"2013/09/24 14:32:29", 16.802
"2013/09/24 14:32:44", 16.815
"2013/09/24 14:32:59", 16.794
"2013/09/24 14:33:14", 16.789
"2013/09/24 14:33:29", 16.804
"2013/09/24 14:33:44", 16.793
"2013/09/24 14:33:59", 16.811
"2013/09/24 14:34:14", 16.792
"2013/09/24 14:34:29", 16.777
"2013/09/24 14:34:44", 16.785
"2013/09/24 14:34:59", 16.802
"2013/09/24 14:41:14", 16.732
"2013/09/24 14:41:29", 16.730
"2013/09/24 14:41:44", 16.715
"2013/09/24 14:41:59", 16.706
"2013/09/24 14:42:14", 16.720
"2013/09/24 14:42:29", 16.709
"2013/09/24 14:42:44", 16.713
"2013/09/24 14:43:00", 16.703
"2013/09/24 14:43:15", 16.712
"2013/09/24 14:43:30", 16.720
"2013/09/24 14:43:45", 16.724
"2013/09/24 14:44:00", 16.725
"2013/09/24 14:44:15", 16.727
"2013/09/24 14:44:30", 16.712
"2013/09/24 14:44:45", 16.731
"2013/09/24 14:45:00", 16.722
"2013/09/24 14:45:15", 16.722
"2013/09/24 14:45:30", 16.724
"2013/09/24 14:45:44", 16.731
"2013/09/24 14:45:59", 16.721
"2013/09/25 16:00:29", 17.111
"2013/09/25 16:00:44", 17.065
"2013/09/25 16:00:59", 17.055
"2013/09/25 16:01:14", 17.102
"2013/09/25 16:01:29", 17.095
"2013/09/25 16:01:44", 17.096
"2013/09/25 16:02:15", 17.117
"2013/09/25 16:02:30", 17.090
"2013/09/25 16:02:45", 17.084
"2013/09/25 16:03:14", 17.069
"2013/09/25 16:03:29", 17.072
"2013/09/25 16:03:44", 17.074
"2013/09/25 16:04:14", 17.094
"2013/09/25 16:04:29", 17.082
"2013/09/25 16:04:44", 17.088
"2013/09/25 16:05:14", 17.100
"2013/09/25 16:05:29", 17.048
"2013/09/25 16:05:44", 17.058
"2013/09/25 16:06:14", 16.849
"2013/09/25 16:06:29", 16.803
"2013/09/25 16:06:44", 16.659
"2013/09/25 16:07:14", 16.830
"2013/09/25 16:07:29", 16.807
"2013/09/25 16:07:44", 16.732
"2013/09/25 16:07:59", 16.828
"2013/09/25 16:08:14", 16.594
"2013/09/25 16:08:29", 16.581
"2013/09/25 16:08:44", 16.713
"2013/09/25 16:09:14", 16.640
"2013/09/25 16:09:29", 16.607
"2013/09/25 16:09:44", 16.664
"2013/09/25 16:10:14", 16.478
"2013/09/25 16:10:30", 16.547
"2013/09/25 16:10:45", 16.574
"2013/09/25 16:11:15", 16.575
"2013/09/25 16:11:30", 16.609
"2013/09/25 16:11:44", 16.584
"2013/09/25 16:12:14", 16.746
"2013/09/25 16:12:29", 16.690
"2013/09/25 16:12:44", 16.644
"2013/09/25 16:13:14", 16.806
"2013/09/25 16:13:29", 16.822
"2013/09/25 16:13:44", 16.862
"2013/09/25 16:14:14", 16.715
"2013/09/25 16:14:29", 16.703
"2013/09/25 16:14:44", 16.575
"2013/09/25 16:15:15", 16.563
"2013/09/25 16:15:29", 16.556
"2013/09/25 16:15:44", 16.557
"2013/09/25 16:16:14", 16.585
"2013/09/25 16:16:29", 16.564
"2013/09/25 16:16:44", 16.509
"2013/09/25 16:17:14", 16.633
"2013/09/25 16:17:29", 16.616
"2013/09/25 16:17:44", 16.683
"2013/09/25 16:17:59", 16.577
"2013/09/25 16:18:14", 16.552
"2013/09/25 16:18:29", 16.572
"2013/09/25 16:18:44", 16.664
"2013/09/25 16:19:00", 16.572
"2013/09/25 16:19:15", 16.550
"2013/09/25 16:19:30", 16.572
"2013/09/25 16:19:44", 16.581
"2013/09/25 16:19:59", 16.565
"2013/09/25 16:20:14", 16.594
"2013/09/25 16:20:29", 16.623
"2013/09/25 16:20:44", 16.677
"2013/09/25 16:20:59", 16.658
"2013/09/25 16:21:14", 16.694
"2013/09/25 16:21:29", 16.756
"2013/09/25 16:21:44", 16.768
"2013/09/25 16:21:59", 16.751
"2013/09/25 16:22:15", 16.745
"2013/09/25 16:22:29", 16.751
"2013/09/25 16:22:44", 16.757
"2013/09/25 16:22:59", 16.749
"2013/09/25 16:23:14", 16.731
"2013/09/25 16:23:29", 16.729
"2013/09/25 16:23:44", 16.691
"2013/09/25 16:24:14", 16.697
"2013/09/25 16:24:29", 16.700
"2013/09/25 16:24:44", 16.721
"2013/09/25 16:25:14", 16.676
"2013/09/25 16:25:29", 16.653
"2013/09/25 16:25:44", 16.580
"2013/09/25 16:25:59", 16.588
"2013/09/25 16:27:44", 16.655
"2013/09/25 16:27:59", 16.645
"2013/09/25 16:28:44", 16.769
"2013/09/25 16:28:59", 16.784
"2013/09/25 16:29:44", 16.783
"2013/09/25 16:29:59", 16.841
"2013/09/25 16:30:45", 16.883
"2013/09/25 16:31:00", 16.884
"2013/09/25 16:31:44", 16.951
"2013/09/25 16:31:59", 16.870
"2013/09/25 16:32:44", 16.956
"2013/09/25 16:32:59", 16.922
"2013/09/25 16:33:44", 16.828
"2013/09/25 16:33:59", 16.840
"2013/09/25 16:42:00", 16.760
"2013/09/25 16:42:44", 16.780
"2013/09/25 16:42:59", 16.901
"2013/09/25 16:44:59", 17.049
"2013/09/25 16:45:44", 17.045
"2013/09/25 16:45:59", 17.118
"2013/09/25 16:46:44", 17.158
"2013/09/25 16:46:59", 17.180
"2013/09/25 16:47:59", 17.205
"2013/09/25 16:48:44", 17.201
"2013/09/25 16:48:59", 17.217
"2013/09/25 16:49:44", 17.241
"2013/09/25 16:49:59", 17.219
"2013/09/25 16:51:00", 17.257
"2013/09/25 16:51:44", 17.206
"2013/09/25 16:51:59", 17.177
"2013/09/25 16:52:44", 17.174
"2013/09/25 16:52:59", 17.177
"2013/09/25 16:53:44", 17.169
"2013/09/25 16:53:59", 17.161
"2013/09/25 16:54:44", 17.154
"2013/09/25 16:54:59", 17.178
"2013/09/25 16:55:44", 17.205
"2013/09/25 16:55:59", 17.212
"2013/09/25 16:56:44", 17.076
"2013/09/25 16:56:59", 17.081
"2013/09/25 16:57:44", 17.213
"2013/09/25 16:57:59", 17.186
"2013/09/25 16:58:44", 17.187
"2013/09/25 16:58:59", 17.281
"2013/09/25 17:00:00", 17.250
"2013/09/25 17:00:44", 17.313
"2013/09/25 17:00:59", 17.288
"2013/09/25 17:01:14", 17.282
"2013/09/25 17:01:29", 17.330
"2013/09/25 17:01:44", 17.384
"2013/09/25 17:01:59", 17.348
"2013/09/25 17:02:59", 17.317
"2013/09/25 17:03:44", 17.305
"2013/09/25 17:03:59", 17.295
"2013/09/25 17:04:44", 17.342
"2013/09/25 17:04:59", 17.315
"2013/09/25 17:05:59", 17.257
"2013/09/25 17:06:44", 17.280
"2013/09/25 17:06:59", 17.262
"2013/09/25 17:07:44", 17.314
"2013/09/25 17:08:00", 17.282
"2013/09/25 17:09:00", 17.305
"2013/09/25 17:09:44", 17.310
"2013/09/25 17:09:59", 17.316
"2013/09/25 17:10:44", 17.301
"2013/09/25 17:10:59", 17.313
"2013/09/25 17:12:00", 17.327
"2013/09/25 17:12:44", 17.318
"2013/09/25 17:12:59", 17.342
"2013/09/25 17:13:44", 17.365
"2013/09/25 17:13:59", 17.373
"2013/09/25 17:14:44", 17.400
"2013/09/25 17:14:59", 17.400
"2013/09/25 17:15:44", 17.384
"2013/09/25 17:15:59", 17.387
"2013/09/25 17:16:45", 17.404
"2013/09/25 17:17:00", 17.410
"2013/09/25 17:17:45", 17.371
"2013/09/25 17:17:59", 17.374
"2013/09/25 17:18:44", 17.374
"2013/09/25 17:18:59", 17.390
"2013/09/25 17:19:44", 17.411
"2013/09/25 17:19:59", 17.408
"2013/09/25 17:20:14", 17.415
"2013/09/25 17:20:29", 17.354
"2013/09/25 17:20:44", 17.356
"2013/09/25 17:20:59", 17.368
"2013/09/25 17:21:44", 17.403
"2013/09/25 17:21:59", 17.415
"2013/09/25 17:22:44", 17.428
"2013/09/25 17:22:59", 17.421
"2013/09/25 17:23:59", 17.438
"2013/09/25 17:24:44", 17.435
"2013/09/25 17:24:59", 17.423
"2013/09/25 17:25:45", 17.441
"2013/09/25 17:26:00", 17.465
"2013/09/25 17:26:44", 17.465
"2013/09/25 17:26:59", 17.468
"2013/09/25 17:27:44", 17.503
"2013/09/25 17:27:59", 17.488
"2013/09/25 17:28:44", 17.499
"2013/09/25 17:28:59", 17.510
"2013/09/25 17:29:59", 17.515
"2013/09/25 17:30:44", 17.535
"2013/09/25 17:30:59", 17.525
"2013/09/25 17:31:44", 17.533
"2013/09/25 17:31:59", 17.540
"2013/09/25 17:32:44", 17.544
"2013/09/25 17:32:59", 17.542
"2013/09/25 17:33:44", 17.539
"2013/09/25 17:33:59", 17.542
"2013/09/25 17:34:45", 17.554
"2013/09/25 17:35:00", 17.558
"2013/09/25 17:35:44", 17.564
"2013/09/25 17:35:59", 17.581
"2013/09/25 17:36:44", 17.589
"2013/09/25 17:36:59", 17.581
"2013/09/25 17:37:44", 17.573
"2013/09/25 17:37:59", 17.557
"2013/09/25 17:38:44", 17.546
"2013/09/25 17:38:59", 17.556
"2013/09/25 17:39:14", 17.562
"2013/09/25 17:39:29", 17.560
"2013/09/25 17:39:44", 17.544
"2013/09/25 17:39:59", 17.567
"2013/09/25 17:40:44", 17.574
"2013/09/25 17:40:59", 17.593
"2013/09/25 17:41:44", 17.645
"2013/09/25 17:41:59", 17.671
"2013/09/25 17:42:45", 17.622
"2013/09/25 17:43:00", 17.641
"2013/09/25 17:43:44", 17.696
"2013/09/25 17:43:59", 17.696
"2013/09/25 17:44:44", 17.709
"2013/09/25 17:44:59", 17.725
"2013/09/25 17:45:44", 17.731
"2013/09/25 17:45:59", 17.731
"2013/09/25 17:46:44", 17.751
"2013/09/25 17:46:59", 17.761
"2013/09/25 17:47:44", 17.772
"2013/09/25 17:47:59", 17.762
"2013/09/25 17:48:44", 17.846
"2013/09/25 17:48:59", 17.891
"2013/09/25 17:49:44", 17.923
"2013/09/25 17:49:59", 18.027
"2013/09/25 17:50:44", 18.013
"2013/09/25 17:50:59", 18.063
"2013/09/25 17:51:45", 18.142
"2013/09/25 17:51:59", 18.052
"2013/09/25 17:52:44", 18.114
"2013/09/25 17:52:59", 18.030
"2013/09/25 17:53:44", 18.015
"2013/09/25 17:53:59", 17.944
"2013/09/25 17:54:45", 18.059
"2013/09/25 17:54:59", 18.062
"2013/09/25 17:55:44", 18.006
"2013/09/25 17:55:59", 18.061
"2013/09/25 17:56:44", 18.025
"2013/09/25 17:56:59", 17.987
"2013/09/25 17:57:44", 17.967
"2013/09/25 17:57:59", 17.937
"2013/09/25 17:58:44", 17.988
"2013/09/25 17:58:59", 17.966
"2013/09/25 17:59:45", 17.993
"2013/09/25 18:00:00", 17.997
"2013/09/25 18:00:44", 18.016
"2013/09/25 18:00:59", 17.980
"2013/09/25 18:01:14", 17.994
"2013/09/25 18:01:29", 18.045
"2013/09/25 18:01:45", 18.027
"2013/09/25 18:01:59", 18.055
"2013/09/25 18:02:44", 18.205
"2013/09/25 18:02:59", 18.112
"2013/09/25 18:03:44", 18.021
"2013/09/25 18:03:59", 18.032
"2013/09/25 18:04:44", 17.943
"2013/09/25 18:04:59", 17.957
"2013/09/25 18:05:44", 17.926
"2013/09/25 18:05:59", 17.978
"2013/09/25 18:06:44", 18.301
"2013/09/25 18:06:59", 18.259
"2013/09/25 18:07:44", 17.974
"2013/09/25 18:07:59", 18.054
"2013/09/25 18:08:45", 18.117
"2013/09/25 18:09:00", 17.995
"2013/09/25 18:09:44", 17.912
"2013/09/25 18:09:59", 18.105
"2013/09/25 18:10:44", 17.810
"2013/09/25 18:10:59", 17.997
"2013/09/25 18:11:44", 18.053
"2013/09/25 18:11:59", 18.070
"2013/09/25 18:12:44", 18.345
"2013/09/25 18:12:59", 18.295
"2013/09/25 18:13:44", 18.129
"2013/09/25 18:13:59", 18.056
"2013/09/25 18:14:59", 18.070
"2013/09/25 18:15:44", 18.168
"2013/09/25 18:15:59", 18.073
"2013/09/25 18:16:45", 18.213
"2013/09/25 18:17:00", 18.112
"2013/09/25 18:17:44", 18.192
"2013/09/25 18:17:59", 18.148
"2013/09/25 18:18:44", 18.086
"2013/09/25 18:18:59", 18.054
"2013/09/25 18:19:44", 17.990
"2013/09/25 18:19:59", 17.984
"2013/09/25 18:20:14", 17.831
"2013/09/25 18:20:29", 17.745
"2013/09/25 18:20:44", 17.908
"2013/09/25 18:20:59", 17.935
"2013/09/25 18:21:44", 17.916
"2013/09/25 18:21:59", 17.981
"2013/09/25 18:22:44", 17.938
"2013/09/25 18:22:59", 17.942
"2013/09/25 18:23:44", 18.021
"2013/09/25 18:23:59", 17.954
"2013/09/25 18:24:44", 17.902
"2013/09/25 18:25:00", 17.812
"2013/09/25 18:25:45", 17.978
"2013/09/25 18:26:00", 17.945
"2013/09/25 18:26:59", 18.012
"2013/09/25 18:27:44", 17.987
"2013/09/25 18:27:59", 17.993
"2013/09/25 18:28:44", 18.028
"2013/09/25 18:28:59", 17.988
"2013/09/25 18:29:59", 17.961
"2013/09/25 18:30:44", 18.121
"2013/09/25 18:30:59", 18.167
"2013/09/25 18:31:44", 17.958
"2013/09/25 18:31:59", 18.093
"2013/09/25 18:32:44", 18.117
"2013/09/25 18:32:59", 18.009
"2013/09/25 18:33:44", 18.051
"2013/09/25 18:34:00", 18.106
"2013/09/25 18:34:45", 18.135
"2013/09/25 18:34:59", 18.171
"2013/09/25 18:35:44", 18.208
"2013/09/25 18:35:59", 18.216
"2013/09/25 18:36:44", 18.230
"2013/09/25 18:36:59", 18.245
"2013/09/25 18:37:29", 18.221
"2013/09/25 18:37:44", 18.195
"2013/09/25 18:37:59", 18.218
"2013/09/25 18:38:14", 18.224
"2013/09/25 18:38:29", 18.272
"2013/09/25 18:38:44", 18.266
"2013/09/25 18:38:59", 18.262
"2013/09/25 18:39:14", 18.235
"2013/09/25 18:39:30", 18.296
"2013/09/25 18:39:45", 18.270
"2013/09/25 18:40:00", 18.333
"2013/09/25 18:40:15", 18.340
"2013/09/25 18:40:29", 18.287
"2013/09/25 18:40:44", 18.350
"2013/09/25 18:40:59", 18.347
"2013/09/25 18:41:14", 18.323
"2013/09/25 18:41:29", 18.294
"2013/09/25 18:41:44", 18.254
"2013/09/25 18:41:59", 18.359
"2013/09/25 18:42:14", 18.254
"2013/09/25 18:42:29", 18.333
"2013/09/25 18:42:44", 18.351
"2013/09/25 18:42:59", 18.352
"2013/09/25 18:43:14", 18.333
"2013/09/25 18:43:29", 18.295
"2013/09/25 18:43:44", 18.336
"2013/09/25 18:43:59", 18.354
"2013/09/25 18:44:14", 18.307
"2013/09/25 18:44:30", 18.349
"2013/09/25 18:44:44", 18.336
"2013/09/25 18:44:59", 18.348
"2013/09/25 18:45:14", 18.340
"2013/09/25 18:45:29", 18.299
"2013/09/25 18:45:44", 18.296
"2013/09/25 18:45:59", 18.321
"2013/09/25 18:46:14", 18.277
"2013/09/25 18:46:29", 18.332
"2013/09/25 18:46:44", 18.300
"2013/09/25 18:46:59", 18.235
"2013/09/25 18:47:14", 18.284
"2013/09/25 18:47:29", 18.320
"2013/09/25 18:47:44", 18.303
"2013/09/25 18:47:59", 18.331
"2013/09/25 18:48:15", 18.343
"2013/09/25 18:48:30", 18.309
"2013/09/25 18:48:45", 18.350
"2013/09/25 18:49:00", 18.355
"2013/09/25 18:49:14", 18.329
"2013/09/25 18:49:29", 18.323
"2013/09/25 18:49:44", 18.278
"2013/09/25 18:49:59", 18.302
"2013/09/25 18:50:14", 18.306
"2013/09/25 18:50:29", 18.299
"2013/09/25 18:50:44", 18.309
"2013/09/25 18:50:59", 18.306
"2013/09/25 18:51:14", 18.324
"2013/09/25 18:51:30", 18.323
"2013/09/25 18:51:44", 18.285
"2013/09/25 18:51:59", 18.314
"2013/09/25 18:52:14", 18.314
"2013/09/25 18:52:29", 18.295
"2013/09/25 18:52:44", 18.301
"2013/09/25 18:52:59", 18.289
"2013/09/25 18:53:14", 18.283
"2013/09/25 18:53:29", 18.292
"2013/09/25 18:53:44", 18.289
"2013/09/25 18:53:59", 18.303
"2013/09/25 18:54:14", 18.314
"2013/09/25 18:54:29", 18.303
"2013/09/25 18:54:44", 18.283
"2013/09/25 18:54:59", 18.284
"2013/09/25 18:55:14", 18.280
"2013/09/25 18:55:29", 18.309
"2013/09/25 18:55:44", 18.275
"2013/09/25 18:55:59", 18.264
"2013/09/25 18:56:14", 18.270
"2013/09/25 18:56:29", 18.295
"2013/09/25 18:56:45", 18.276
"2013/09/25 18:57:00", 18.294
"2013/09/25 18:57:15", 18.287
"2013/09/25 18:57:30", 18.285
"2013/09/25 18:57:45", 18.294
"2013/09/25 18:57:59", 18.275
"2013/09/25 18:58:14", 18.266
"2013/09/25 18:58:29", 18.263
"2013/09/25 18:58:45", 18.268
"2013/09/25 18:58:59", 18.263
"2013/09/25 18:59:14", 18.259
"2013/09/25 18:59:29", 18.259
"2013/09/25 18:59:44", 18.267
"2013/09/25 18:59:59", 18.254
"2013/09/25 19:00:14", 18.267
"2013/09/25 19:00:29", 18.262
"2013/09/25 19:00:44", 18.269
"2013/09/25 19:00:59", 18.249
"2013/09/25 19:01:14", 18.267
"2013/09/25 19:01:29", 18.256
"2013/09/25 19:01:44", 18.261
"2013/09/25 19:01:59", 18.257
"2013/09/25 19:02:14", 18.243
"2013/09/25 19:02:29", 18.269
"2013/09/25 19:02:44", 18.261
"2013/09/25 19:02:59", 18.262
"2013/09/25 19:03:14", 18.270
"2013/09/25 19:03:29", 18.247
"2013/09/25 19:03:44", 18.242
"2013/09/25 19:03:59", 18.234
"2013/09/25 19:04:14", 18.248
"2013/09/25 19:04:29", 18.214
"2013/09/25 19:04:44", 18.222
"2013/09/25 19:04:59", 18.213
"2013/09/25 19:05:15", 18.220
"2013/09/25 19:05:30", 18.226
"2013/09/25 19:05:45", 18.208
"2013/09/25 19:05:59", 18.225
"2013/09/25 19:06:14", 18.186
"2013/09/25 19:06:29", 18.201
"2013/09/25 19:06:44", 18.150
"2013/09/25 19:06:59", 18.186
"2013/09/25 19:07:14", 18.199
"2013/09/25 19:07:29", 18.144
"2013/09/25 19:07:44", 18.200
"2013/09/25 19:07:59", 18.119
"2013/09/25 19:08:14", 18.205
"2013/09/25 19:08:29", 18.207
"2013/09/25 19:08:44", 18.162
"2013/09/25 19:08:59", 18.191
"2013/09/25 19:09:14", 18.179
"2013/09/25 19:09:29", 18.201
"2013/09/25 19:09:44", 18.179
"2013/09/25 19:09:59", 18.231
"2013/09/25 19:10:14", 18.217
"2013/09/25 19:10:29", 18.222
"2013/09/25 19:10:44", 18.153
"2013/09/25 19:10:59", 18.211
"2013/09/25 19:11:14", 18.204
"2013/09/25 19:11:29", 18.219
"2013/09/25 19:11:44", 18.180
"2013/09/25 19:11:59", 18.151
"2013/09/25 19:12:14", 18.190
"2013/09/25 19:12:29", 18.184
"2013/09/25 19:12:44", 18.142
"2013/09/25 19:12:59", 18.160
"2013/09/25 19:13:14", 18.172
"2013/09/25 19:13:29", 18.187
"2013/09/25 19:13:44", 18.167
"2013/09/25 19:14:00", 18.177
"2013/09/25 19:14:15", 18.197
"2013/09/25 19:14:30", 18.183
"2013/09/25 19:14:45", 18.194
"2013/09/25 19:14:59", 18.217
"2013/09/25 19:15:14", 18.234
"2013/09/25 19:15:29", 18.207
"2013/09/25 19:15:44", 18.234
"2013/09/25 19:15:59", 18.262
"2013/09/25 19:16:14", 18.292
"2013/09/25 19:16:29", 18.267
"2013/09/25 19:16:44", 18.250
"2013/09/25 19:16:59", 18.236
"2013/09/25 19:17:14", 18.239
"2013/09/25 19:17:29", 18.224
"2013/09/25 19:17:44", 18.213
"2013/09/25 19:17:59", 18.173
"2013/09/25 19:18:14", 18.254
"2013/09/25 19:18:29", 18.224
